Question,Answer
Walk me through your career so far.,"Noah started in sales — gyms in his early 20s, then Residential Real Estate at Signature Real Estate Group managing end-to-end transactions, then Logistics Account Executive at TQL handling freight operations and carrier relationships under tight deadlines. He joined Tesla as an Inside Sales Advisor in November 2024 and earned Plaid Club recognition as a top 10% performer. Alongside all of this, he pursued competitive MMA — 10 cage fights — and has been coaching BJJ and MMA at Xtreme Couture since 2021. His degree is in Biology from UNLV, which is where the quantitative foundation comes from: biostatistics, hypothesis testing, experimental design."
Why did you transition from Tesla Sales to Tech/AI projects?,"Noah grew up playing chess competitively. In 2017 while attending college at UNLV, before he had any technical knowledge, he watched the games between Stockfish and AlphaZero. Stockfish focused on material advantage. AlphaZero sacrificed pieces for relentless pressure and long-term initiative. That stuck with him — an AI that seemed to grasp advantages difficult to quantify. In August 2024 while on vacation in San Diego, Noah reflected on his screen time and decided if he was going to spend his life on screens, he might as well learn to build things. A month later he pursued a sales job in tech, joining Tesla in November 2024, and started building AI projects independently."
What is the biggest project you have worked on?,"Portfolia — the assistant you are talking to. A 21-node functional pipeline with Supabase pgvector for semantic search, Anthropic Claude Sonnet 4.5 for generation, and Claude Haiku for intent classification. Intent routing before retrieval means greetings and crush confessions skip the entire RAG pipeline. Dual similarity thresholds, grounding validation, hallucination checking, bounded conversation memory. Noah also built an employee attrition prediction model (logistic regression, 94.75% accuracy), a response time statistical analysis tool in Streamlit, and a lead response heatmap dashboard."
What technical skills do you have?,"Python is the primary language — pandas, NumPy, scikit-learn, Streamlit for data apps. SQL for database work. Git and GitHub for version control. Noah works with RAG pipelines, vector databases (Supabase pgvector), and LangGraph-style orchestration. He builds FastAPI backends, integrates external APIs (Anthropic, OpenAI, Supabase, Twilio, Resend), and uses LangSmith for observability. He leverages AI coding assistants like GitHub Copilot and Claude Code to accelerate development. Tableau for visualization. The quantitative foundation comes from his Biology degree — biostatistics and experimental design at UNLV."
How strong is Noah's Python?,"Intermediate and getting stronger daily. He is comfortable with pandas, matplotlib, scikit-learn, working with APIs, and building full application pipelines. The evidence is in the shipped projects: Portfolia (a 21-node RAG pipeline), a logistic regression model that hit 94.75% accuracy on an imbalanced dataset, and statistical analysis tools. He is not writing compilers. He is building production applications that work."
What projects has Noah built with AI?,"Four projects worth knowing about. Portfolia — the RAG-powered AI assistant you are using right now, with a 21-node functional pipeline, pgvector semantic search, and Anthropic Claude for generation. Employee Attrition Prediction — logistic regression with feature engineering and cross-validation, 94.75% accuracy on an imbalanced dataset. Response Time Analysis — a Streamlit app with statistical hypothesis testing and time-series visualization. Generic Lead Response Heatmap — a reusable Python dashboard using pandas and matplotlib to visualize coverage gaps."
Does Noah have experience with LangChain and RAG?,"Yes. Noah built Portfolia using RAG architecture with pgvector for vector similarity search and a 21-node functional pipeline for conversation orchestration. He has hands-on experience with LangChain for LLM abstraction, LangSmith for observability, and custom retrieval pipelines with dual similarity thresholds and grounding validation."
Tell me about a time Noah solved a problem no one else could.,"The best example is Portfolia itself. Most portfolio sites are static pages. Noah identified that the fundamental problem is there is no way to ask follow-up questions or go deeper on what interests you. So he built a conversational portfolio — a 21-node RAG pipeline with intent classification, visitor detection, and engagement pacing. The approach required solving multiple interacting problems: stateless state machines for serverless compatibility, self-knowledge injection so the system can explain its own architecture, and quality gates that prefer saying 'I do not know' over hallucinating."
How did Noah use AI to improve sales workflows?,"Noah applied data-driven thinking at Tesla by tracking objection patterns, qualifying buyers efficiently, and managing competing priorities across pipeline stages. His Plaid Club top 10% performance demonstrates his ability to optimize his own output in a metrics-driven environment. The sales background informs his technical work — understanding how users interact with products and what makes communication effective under pressure."
What metrics did Noah impact at Tesla?,"Plaid Club recognition — top 10% performer. Noah has consistently generated strong sales performance, ranking among the top closers. The specific numbers are Tesla's to share, but the recognition speaks for itself."
How does Noah work with project managers or engineers?,"Noah bridges business and technical perspectives. His sales background means he understands stakeholder communication and what makes information actionable for decision-makers. His technical projects demonstrate he can also go deep on implementation. He built Portfolia's entire pipeline independently — architecture decisions, retrieval engineering, prompt design, deployment, and debugging."
What role does Noah usually play in a team project?,"Noah acts as a bridge between business and technical contexts. He contributes domain knowledge from sales and logistics while building technical solutions. His MMA coaching experience translates directly — building training plans for different skill levels, reading the room on when to push and when to simplify, breaking down complex techniques for people under pressure."
How does Noah explain technical ideas to non-technical people?,"Noah starts with the problem, not the technology. He explains a call summarizer as 'a transcript generator paired with an AI that condenses key points into a digestible summary' rather than 'an NLP pipeline with abstractive summarization.' The approach comes naturally from years of selling — you learn to lead with what something does for the person, not how it works internally."
Why should a company hire Noah over another candidate with a CS degree?,"Three things. First, shipped work. He built a full RAG-powered AI assistant — you are talking to it — a logistic regression model with 94.75% accuracy, and statistical analysis tools. A CS degree proves you can pass exams. Shipped projects prove you can build things. Second, domain knowledge. Sales, logistics, and real estate experience means he understands business problems from the inside. That is the gap most junior engineers have — they can write code but cannot explain why it matters to a stakeholder. Third, pressure tolerance. Negotiating freight rates at TQL under tight deadlines, managing six-figure real estate transactions end-to-end, closing vehicles in Tesla's top 10%. The technical skills are provable. The soft skills were forged in roles where failure had immediate financial consequences."
Where can I see Noah's GitHub?,GitHub: https://github.com/iNoahCodeGuy
Where can I see Noah's LinkedIn?,LinkedIn: https://www.linkedin.com/in/noah-de-la-calzada-250412358/
